shopify_product_id,handle,status,sku,title
"gid://shopify/Product/15427476586828","soporte-tv-vogels-3350-negro-giratorio-tv-40-a-77-articulado","ACTIVE","8354130","Soporte TV - VOGEL'S, 3350, Negro, Giratorio, TV 40"" a 77"", Artículado"
"gid://shopify/Product/15427480617292","campana-decorativa-bosch-dwb77cm5-acero-inoxidable-t-invertida","ACTIVE","2DWB77CM50","Campana Decorativa - Bosch DWB77CM50, Acero Inoxidable, T-Invertida"
"gid://shopify/Product/15427480748364","campana-decorativa-bosch-dwb97cm5-acero-inoxidable-t-invertida","ACTIVE","2DWB97CM50","Campana Decorativa - Bosch DWB97CM50, Acero Inoxidable, T-Invertida"
"gid://shopify/Product/15427480944972","puertas-combi-bosch-ksz1bvg1-antracita","ACTIVE","2KSZ1BVG10","Puertas Combi - Bosch KSZ1BVG10 Antracita"
"gid://shopify/Product/15427481764172","campana-decorativa-mepamsa-gavia-60cm-64-db-blanco","ACTIVE","3200710374","Campana Decorativa - Mepamsa Gavia, 60cm, 64 dB, Blanco"
"gid://shopify/Product/15427482222924","tv-led-hisense-32a4n-32-hd-ready-smart-tv","ACTIVE","32A4N","TV LED - HISENSE 32A4N, 32"", HD Ready, Smart TV"
"gid://shopify/Product/15427482911052","combi-libre-instalacion-haier-hdpw5620anpd-darkinox-205-metros-no-frost","ACTIVE","34005469","Combi Libre Instalación - Haier HDPW5620ANPD, DarkInox, 2,05 metros,  No-Frost"
"gid://shopify/Product/15427483730252","campana-integrable-balay-3bd997gn-90-cm-63-db-cristal-negro","ACTIVE","3BD997GN","Campana Integrable -  Balay 3BD997GN, 90 cm, 63 dB, Cristal Negro"
"gid://shopify/Product/15427489104204","robot-reposteria-ariete-15885-vintage-azul","ACTIVE","158805","Robot Repostería - ARIETE 1588/05 Vintage Azul"
"gid://shopify/Product/15427489530188","cafetera-express-cecotec-espresso-20-tradizionale-light-blue-20-bares","ACTIVE","1628","Cafetera Express -  Cecotec Espresso 20 Tradizionale Light Blue, 20 Bares"
"gid://shopify/Product/15427489595724","olla-vitrex-campo-2cm-45-litros-rojo","ACTIVE","1633020","Olla - Vitrex Campo, 20cm, 4,5 litros, Rojo"
"gid://shopify/Product/15427489923404","tetera-vitrex-campo-2-litros-verde","ACTIVE","1647020","Tetera - Vitrex Campo, 2 litros, Verde"
"gid://shopify/Product/15427490054476","camara-instantanea-fujifilm-instax-square-sq1-blanco-tiza","ACTIVE","16672166","Cámara Instantánea - FUJIFILM INSTAX Square SQ1™, Blanco Tiza"
"gid://shopify/Product/15427490349388","camara-instantanea-fujifilm-instax-mini-evo-marron","ACTIVE","16812508","Cámara Instantánea - Fujifilm Instax Mini Evo, Marrón"
